ABE,DTW,93,350,1383
ABE,ATL,122,540,1780
ABI,DFW,52,244,4455
ABQ,HOU,120,412,1867
ABQ,DAL,99,467,3114
ABQ,ORD,173,703,1059
ABQ,DFW,106,466,3503
ABQ,PHX,71,324,4880
ABQ,ATL,186,824,1599
ABQ,SFO,150,725,662
ABQ,SAN,101,332,1225
ABQ,IAH,130,481,1614
ABQ,MDW,167,831,1286
ABQ,PDX,159,464,457
ABQ,SLC,94,379,1893
ABQ,OAK,134,479,1583
ABQ,MCI,114,322,628
ABR,MSP,70,224,1320
ACT,DFW,44,179,3079
ACV,SFO,72,312,2535
ACY,RSW,149,573,953
ACY,MYR,82,302,650
ACY,FLL,150,584,1620
ACY,MCO,136,664,1574
ACY,PBI,144,435,306
ACY,TPA,142,356,661
ACY,BOS,75,274,361
ACY,ATL,118,499,354
AEX,DFW,72,353,1882
AEX,ATL,99,302,2424
ALB,MCO,164,678,1352
ALB,ORD,127,518,1702
ALB,FLL,181,845,683
ALB,CLT,125,416,1395
ALB,BWI,70,251,3319
ALB,TPA,169,658,760
ALB,ATL,143,470,1860
ALB,LAS,295,744,546
ALB,IAD,97,348,3
ALB,RSW,190,744,10
ALO,ORD,70,183,1166
AMA,DEN,80,392,1105
AMA,DAL,67,294,2381
AMA,IAH,102,493,1759
ANC,SEA,205,518,12705
ANC,PDX,215,852,1820
ANC,PHX,334,1133,775
ANC,MSP,326,961,1146
ANC,OTZ,92,339,961
ANC,SCC,102,510,835
ANC,OGG,358,1343,132
ANC,OME,90,269,948
ANC,BET,72,249,1759
ANC,HNL,361,1290,548
ANC,ADK,175,438,177
ANC,LAS,311,980,168
ANC,KOA,362,1101,88
ANC,ADQ,55,192,874
ANC,IAH,411,1513,163
ANC,DLG,64,299,154
ANC,AKN,59,221,126
ASE,DEN,52,228,2045
ASE,ORD,167,825,1150
ASE,LAX,127,373,1403
ASE,IAH,154,654,769
ASE,SFO,141,475,369
ASE,DFW,124,398,559
ATL,IAD,105,264,5216
ATL,IAH,123,605,7675
ATL,CLT,73,318,12534
ATL,DAL,124,320,5652
ATL,MDW,109,539,8885
ATL,TLH,63,177,4177
ATL,ROA,82,315,2918
ATL,AGS,54,180,4689
ATL,SRQ,90,390,3847
ATL,ICT,128,422,1923
ATL,ECP,65,232,4020
ATL,MSN,120,597,1777
ATL,FNT,117,386,1895
ATL,HPN,136,559,3623
ATL,JAC,222,1010,203
ATL,LEX,75,372,4501
ATL,EVV,80,215,1898
ATL,XNA,108,281,3110
ATL,MTJ,203,547,70
ATL,ASE,201,777,186
ATL,LFT,100,327,2364
ATL,EGE,193,547,196
ATL,HDN,196,556,190
ATL,MYR,75,272,2819
ATL,GRK,133,380,1167
ATL,FAY,78,333,3229
ATL,HNL,539,2073,664
ATL,TUS,217,1065,1227
ATL,ELP,186,728,1392
ATL,BMI,99,453,1720
ATL,GTR,67,207,1824
ATL,ABY,52,141,1730
ATL,TYS,55,165,3395
ATL,MHT,157,413,656
ATL,BTV,156,570,596
ATL,MBS,130,597,24
ATL,FAR,175,445,78
ATL,SCE,115,365,78
ATL,RAP,182,760,30
ATL,LNK,138,412,635
ATL,SJC,282,1097,548
ATL,AZO,115,348,35
ATL,LAN,121,540,27
ATL,ELM,130,372,28
ATL,FSD,150,491,656
ATL,PWM,158,542,1206
ATL,SMF,276,955,1104
ATL,RST,134,507,626
ATL,DSM,123,337,1837
ATL,ONT,263,1102,6
ATL,OAK,291,1128,128
ATL,MSO,248,671,30
ATL,STX,233,770,73
ATL,ANC,431,2069,203
ATL,FCA,251,779,49
ATL,TVC,129,456,65
ATW,ATL,128,582,823
ATW,ORD,61,154,2722
AUS,LAX,184,505,5143
AUS,DFW,60,292,9072
AUS,JFK,231,1018,3115
AUS,SFO,216,594,4048
AUS,IAH,56,248,4044
AUS,ATL,134,508,6275
AUS,BWI,196,678,1249
AUS,LGB,174,682,945
AUS,DEN,126,516,5750
AUS,PHL,215,885,529
AUS,LAS,162,411,2370
AUS,DAL,53,178,7632
AUS,PHX,135,664,3141
AUS,HOU,48,179,2585
AUS,EWR,223,656,1827
AUS,MDW,150,494,1716
AUS,FLL,165,659,1566
AUS,HRL,61,195,643
AUS,DCA,193,631,655
AUS,MSY,79,208,681
AUS,SLC,166,703,1169
AUS,BNA,120,548,1234
AUS,LBB,66,292,621
AUS,DTW,177,743,561
AUS,MIA,172,759,409
AUS,SNA,169,701,312
AUS,STL,115,530,312
AVL,ATL,56,203,3659
AVL,ORD,110,471,1384
AVP,ORD,121,532,973
AVP,ATL,122,609,644
AZO,ORD,53,186,2495
AZO,DTW,52,142,726
BDL,IAD,81,274,319
BDL,ATL,142,471,4615
BDL,DCA,79,207,1297
BDL,ORD,138,376,2890
BDL,MIA,188,917,741
BDL,DFW,220,766,1238
BDL,DEN,233,1143,677
BDL,RSW,180,838,777
BDL,CLT,120,317,3195
BDL,MCO,161,738,3280
BDL,DTW,104,448,2690
BDL,PBI,173,719,668
BDL,BWI,67,228,4292
BDL,TPA,168,495,1875
BDL,MDW,128,573,1712
BDL,PHL,67,200,9
BFL,DEN,149,414,1200
BFL,SFO,72,298,1285
BFL,PHX,93,356,1733
BHM,MIA,118,404,1069
BHM,ATL,53,210,6385
BHM,DFW,114,561,1188
BHM,IAH,109,281,3111
BHM,BWI,116,382,1156
BHM,TPA,81,383,1250
BHM,LAS,220,652,667
BHM,DAL,98,393,1353
BHM,HOU,98,355,1208
BHM,LGA,151,670,885
BIL,SLC,81,385,2112
BIL,SEA,118,577,26
BIS,DEN,100,397,2519
BIS,DFW,164,754,645
BIS,MSP,85,388,2976
BJI,MSP,61,229,1329
BLI,SEA,46,226,493
BLI,LAS,155,743,432
BLI,HNL,357,1573,306
BNA,DTW,92,310,3998
BNA,ATL,64,191,6411
BNA,LAX,249,888,3245
BNA,MIA,139,617,102
BNA,CVG,66,216,651
BNA,ORD,95,238,6770
BNA,LAS,218,716,1756
BNA,SLC,209,747,684
BNA,CLT,81,348,2548
BNA,STL,61,206,1239
BNA,DEN,157,506,4009
BNA,MSP,128,433,2047
BNA,LGA,137,405,4533
BNA,IAH,124,486,2304
BNA,PHX,202,896,1448
BNA,CHS,82,387,687
BNA,BWI,104,516,3653
BNA,DAL,103,490,1776
BNA,BOS,153,454,1251
BNA,CMH,70,218,1245
BNA,SAN,237,1024,766
BNA,HOU,113,400,2410
BNA,JFK,146,479,614
BNA,IAD,114,499,62
BNA,MCI,88,431,2151
BNA,RSW,118,329,201
BNA,MOB,78,331,1
BNA,SEA,271,1353,368
BOI,SFO,104,402,2739
BOI,LAX,129,512,1341
BOI,PHX,120,489,2169
BOI,ORD,221,802,1043
BOI,DEN,111,305,3825
BOI,IAH,217,1003,650
BOI,OAK,90,242,1314
BOI,GEG,59,257,1159
BOI,MSP,170,665,1404
BOI,SEA,86,344,2051
BOI,PDX,76,310,121
BOS,MYR,122,383,643
BOS,MIA,198,614,4540
BOS,BWI,85,404,8597
BOS,DTW,118,310,6736
BOS,PBI,184,872,3143
BOS,JFK,74,296,9785
BOS,BUF,82,395,2439
BOS,EWR,74,357,8658
BOS,DFW,232,652,5962
BOS,LAX,351,1689,7935
BOS,MSP,174,790,3585
BOS,ATL,158,446,9183
BOS,PHL,85,387,10294
BOS,PHX,314,856,2791
BOS,CLT,135,491,7024
BOS,IAD,91,407,3963
BOS,FLL,193,891,4282
BOS,RIC,96,294,4447
BOS,PIT,97,460,2273
BOS,IAH,234,662,3275
BOS,SAN,347,1300,1880
BOS,JAX,159,653,1345
BOS,HOU,234,1117,1803
BOS,AUS,244,861,791
BOS,STT,243,952,318
BOS,DEN,249,1094,4723
BOS,SFO,359,1112,7586
BOS,LAS,321,956,2005
BOS,SAV,144,680,653
BOS,SRQ,190,572,349
BOS,CLE,109,435,3573
BOS,CHS,136,517,667
BOS,MDW,144,414,2690
BOS,SLC,294,914,1134
BOS,MSY,202,820,656
BOS,LGB,342,1407,540
BOS,SJC,354,1287,398
BOS,LGA,76,207,13304
BOS,CVG,134,358,553
BOS,ACK,46,207,232
BOS,OAK,356,1719,201
BOS,MVY,40,141,168
BOS,SMF,348,1183,96
BOS,CMH,117,382,427
BOS,MSN,146,451,2
BPT,DFW,74,227,1820
BQK,ATL,65,303,1737
BQN,EWR,224,669,572
BQN,MCO,161,775,880
BRD,MSP,50,245,1161
BRO,IAH,74,306,2519
BRO,DFW,97,425,2005
BRW,FAI,81,205,322
BRW,ANC,112,281,506
BTM,SLC,78,225,1287
BTR,ATL,91,277,4961
BTR,DFW,86,430,4474
BTR,IAH,68,282,4539
BTR,DCA,152,395,2
BTV,JFK,75,322,1996
BTV,ORD,137,407,1026
BTV,LGA,74,313,88
BTV,IAD,103,393,13
BUF,JFK,82,377,4796
BUF,EWR,79,270,1013
BUF,CLT,106,282,2384
BUF,ORD,98,427,3846
BUF,FLL,176,856,1161
BUF,PHX,257,900,663
BUF,ATL,119,389,3124
BUF,LAS,264,1154,1086
BUF,RSW,171,836,154
BUF,MSP,119,572,392
BUR,SEA,147,703,2020
BUR,SFO,79,327,3088
BUR,DEN,140,398,2464
BUR,OAK,65,307,7249
